date,time,borough,zip,injured,killed,cause
01/01/2019,14:00,,,0,0,Reaction to Uninvolved Vehicle
01/01/2019,18:41,,,0,0,Following Too Closely
01/01/2019,23:02,,,0,0,Unsafe Speed
01/01/2019,19:00,,,2,0,Failure to Yield Right-of-Way
01/01/2019,17:07,BROOKLYN,11219,0,0,Unspecified
01/01/2019,23:50,,,1,0,Unsafe Speed
01/01/2019,15:00,BROOKLYN,11208,0,0,Unspecified
01/01/2019,9:42,QUEENS,11355,0,0,Unspecified
date,time,borough,zip,injured,killed,cause
01/01/2019,14:00,,,0,0,Reaction to Uninvolved Vehicle
01/01/2019,18:41,,,0,0,Following Too Closely
01/01/2019,23:02,,,0,0,Unsafe Speed
01/01/2019,19:00,,,2,0,Failure to Yield Right-of-Way
01/01/2019,17:07,BROOKLYN,11219,0,0,Unspecified
01/01/2019,23:50,,,1,0,Unsafe Speed
01/01/2019,15:00,BROOKLYN,11208,0,0,Unspecified
01/01/2019,9:42,QUEENS,11355,0,0,Unspecified
