"col0","col1","col2","col3","col4","col5","col6","col7","col8","partition_0"
"","type of population or resource","(increases, decreases)","","type of population or resource","(increases, decreases)",,,,"monarch"
"When","predators","increase",", the result is that","prey","decrease",,,,"monarch"
"When","prey","increase",", the result is that","prey","increase",,,,"monarch"
"When","the amount of food","increases",", the result is that","the population","increases",,,,"monarch"
"When","the amount of resources","decreases",", the result is that","competition","increases",,,,"monarch"
"Organism","Steps in life cycle",,,,,,,,"regents"
"frog","egg, tadpole, adult",,,,,,,,"regents"
"butterfly","egg, larva, chrysalis, adult",,,,,,,,"regents"
"","CHARACTERISTIC Physical characteristic of an animal or human","","INHERITED? Is the characterstic inherited, learned, or acquired?",,,,,,"regents"
"An","facial scar","is","acquired",,,,,,"regents"
"","blue eyes","are","inherited",,,,,,"regents"
"","long hair","is","acquired",,,,,,"regents"
"A","broken leg","is","acquired",,,,,,"regents"
"","strong muscles","are","acquired",,,,,,"regents"
"","telling a story","is","learned",,,,,,"regents"
"","saluting the flag","is","learned",,,,,,"regents"
"","having blue eyes","is","inherited",,,,,,"regents"
"","riding a bicycle","is","learned",,,,,,"regents"
"","muddy paws","are","acquired",,,,,,"regents"
"","spotted fur","is","inherited",,,,,,"regents"
"A","broken foot","is","acquired",,,,,,"regents"
"A","scar on the face","is","acquired",,,,,,"regents"
"","being able to read","is","learned",,,,,,"regents"
"","being able to breathe","is","inherited",,,,,,"regents"
"","having a scar","is","acquired",,,,,,"regents"
"","having brown eyes","is","inherited",,,,,,"regents"
"","shape of earlobes","is","inherited",,,,,,"regents"
"","ability to roll your tongue","is","inherited",,,,,,"regents"
"","dimples","are","inherited",,,,,,"regents"
"","handedness; being left-handed; being right-handed","is","inherited",,,,,,"regents"
"","freckles","are","inherited",,,,,,"regents"
"","curly hair","is","inherited",,,,,,"regents"
"","red/green colorblindness","is","inherited",,,,,,"regents"
"","hairline shape","is","inherited",,,,,,"regents"
"Process","Main energy source for process",,,,,,,,"regents"
"lightning","electricity",,,,,,,,"regents"
"lunar cycle","gravity",,,,,,,,"regents"
"water cycle","sunlight",,,,,,,,"regents"
"DESCRIPTIVE WEATHER TERM","","WEATHER PARAMETER",,,,,,,"regents"
"windy","is a term that can describe","wind speed",,,,,,,"regents"
"cloudy","is a term that can describe","sky conditions",,,,,,,"regents"
"rainy","is a term that can describe","precipitation",,,,,,,"regents"
"cold","is a term that can describe","air temperature",,,,,,,"regents"
"cool","is a term that can describe","air temperature",,,,,,,"regents"
"hot","is a term that can describe","air temperature",,,,,,,"regents"
"mild","is a term that can describe","air temperature",,,,,,,"regents"
"warm","is a term that can describe","air temperature",,,,,,,"regents"
"low pressure","is a term that can describe","air pressure",,,,,,,"regents"
"high pressure","is a term that can describe","air pressure",,,,,,,"regents"
"temperate","is a term that can describe","air temperature; climate",,,,,,,"regents"
"humid","is a term that can describe","the amount of water vapor in the air",,,,,,,"regents"
"arid","is a term that can describe","the amount of water vapor in the air; the amount of precipitation; climate",,,,,,,"regents"
"calm","is a term that can describe","wind speed",,,,,,,"regents"
"gusty","is a term that can describe","wind speed",,,,,,,"regents"
"blustery","is a term that can describe","wind speed",,,,,,,"regents"
"cumulus","is a term that can describe","a type of cloud",,,,,,,"regents"
"nimbus","is a term that can describe","a type of cloud",,,,,,,"regents"
"sunny","is a term that can describe","the amount of sun",,,,,,,"regents"
"foggy","is a term that can describe","cloud cover",,,,,,,"regents"
"breezy","is a term that can describe","wind speed",,,,,,,"regents"
"brisk","is a term that can describe","wind speed",,,,,,,"regents"
"snowy","is a term that can describe","precipitation",,,,,,,"regents"
"hazy","is a term that can describe","cloud cover",,,,,,,"regents"
