col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,partition_0
0,NA,type of population or resource,"(increases, decreases)",NA,type of population or resource,"(increases, decreases)",NA,NA,NA,monarch
1,When,predators,increase,", the result is that",prey,decrease,NA,NA,NA,monarch
2,When,prey,increase,", the result is that",prey,increase,NA,NA,NA,monarch
3,When,the amount of food,increases,", the result is that",the population,increases,NA,NA,NA,monarch
4,When,the amount of resources,decreases,", the result is that",competition,increases,NA,NA,NA,monarch
5,Organism,Steps in life cycle,NA,NA,NA,NA,NA,NA,NA,regents
6,frog,"egg, tadpole, adult",NA,NA,NA,NA,NA,NA,NA,regents
7,butterfly,"egg, larva, chrysalis, adult",NA,NA,NA,NA,NA,NA,NA,regents
8,NA,CHARACTERISTIC Physical characteristic of an animal or human,NA,"INHERITED? Is the characterstic inherited, learned, or acquired?",NA,NA,NA,NA,NA,regents
9,An,facial scar,is,acquired,NA,NA,NA,NA,NA,regents
10,NA,blue eyes,are,inherited,NA,NA,NA,NA,NA,regents
11,NA,long hair,is,acquired,NA,NA,NA,NA,NA,regents
12,A,broken leg,is,acquired,NA,NA,NA,NA,NA,regents
13,NA,strong muscles,are,acquired,NA,NA,NA,NA,NA,regents
14,NA,telling a story,is,learned,NA,NA,NA,NA,NA,regents
15,NA,saluting the flag,is,learned,NA,NA,NA,NA,NA,regents
16,NA,having blue eyes,is,inherited,NA,NA,NA,NA,NA,regents
17,NA,riding a bicycle,is,learned,NA,NA,NA,NA,NA,regents
18,NA,muddy paws,are,acquired,NA,NA,NA,NA,NA,regents
19,NA,spotted fur,is,inherited,NA,NA,NA,NA,NA,regents
20,A,broken foot,is,acquired,NA,NA,NA,NA,NA,regents
21,A,scar on the face,is,acquired,NA,NA,NA,NA,NA,regents
22,NA,being able to read,is,learned,NA,NA,NA,NA,NA,regents
23,NA,being able to breathe,is,inherited,NA,NA,NA,NA,NA,regents
24,NA,having a scar,is,acquired,NA,NA,NA,NA,NA,regents
25,NA,having brown eyes,is,inherited,NA,NA,NA,NA,NA,regents
26,NA,shape of earlobes,is,inherited,NA,NA,NA,NA,NA,regents
27,NA,ability to roll your tongue,is,inherited,NA,NA,NA,NA,NA,regents
28,NA,dimples,are,inherited,NA,NA,NA,NA,NA,regents
29,NA,handedness; being left-handed; being right-handed,is,inherited,NA,NA,NA,NA,NA,regents
30,NA,freckles,are,inherited,NA,NA,NA,NA,NA,regents
31,NA,curly hair,is,inherited,NA,NA,NA,NA,NA,regents
32,NA,red/green colorblindness,is,inherited,NA,NA,NA,NA,NA,regents
33,NA,hairline shape,is,inherited,NA,NA,NA,NA,NA,regents
34,Process,Main energy source for process,NA,NA,NA,NA,NA,NA,NA,regents
35,lightning,electricity,NA,NA,NA,NA,NA,NA,NA,regents
36,lunar cycle,gravity,NA,NA,NA,NA,NA,NA,NA,regents
37,water cycle,sunlight,NA,NA,NA,NA,NA,NA,NA,regents
38,DESCRIPTIVE WEATHER TERM,NA,WEATHER PARAMETER,NA,NA,NA,NA,NA,NA,regents
39,windy,is a term that can describe,wind speed,NA,NA,NA,NA,NA,NA,regents
40,cloudy,is a term that can describe,sky conditions,NA,NA,NA,NA,NA,NA,regents
41,rainy,is a term that can describe,precipitation,NA,NA,NA,NA,NA,NA,regents
42,cold,is a term that can describe,air temperature,NA,NA,NA,NA,NA,NA,regents
43,cool,is a term that can describe,air temperature,NA,NA,NA,NA,NA,NA,regents
44,hot,is a term that can describe,air temperature,NA,NA,NA,NA,NA,NA,regents
45,mild,is a term that can describe,air temperature,NA,NA,NA,NA,NA,NA,regents
46,warm,is a term that can describe,air temperature,NA,NA,NA,NA,NA,NA,regents
47,low pressure,is a term that can describe,air pressure,NA,NA,NA,NA,NA,NA,regents
48,high pressure,is a term that can describe,air pressure,NA,NA,NA,NA,NA,NA,regents
49,temperate,is a term that can describe,air temperature; climate,NA,NA,NA,NA,NA,NA,regents
50,humid,is a term that can describe,the amount of water vapor in the air,NA,NA,NA,NA,NA,NA,regents
51,arid,is a term that can describe,the amount of water vapor in the air; the amount of precipitation; climate,NA,NA,NA,NA,NA,NA,regents
52,calm,is a term that can describe,wind speed,NA,NA,NA,NA,NA,NA,regents
53,gusty,is a term that can describe,wind speed,NA,NA,NA,NA,NA,NA,regents
54,blustery,is a term that can describe,wind speed,NA,NA,NA,NA,NA,NA,regents
55,cumulus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
56,nimbus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
57,sunny,is a term that can describe,the amount of sun,NA,NA,NA,NA,NA,NA,regents
58,foggy,is a term that can describe,cloud cover,NA,NA,NA,NA,NA,NA,regents
59,breezy,is a term that can describe,wind speed,NA,NA,NA,NA,NA,NA,regents
60,brisk,is a term that can describe,wind speed,NA,NA,NA,NA,NA,NA,regents
61,snowy,is a term that can describe,precipitation,NA,NA,NA,NA,NA,NA,regents
62,hazy,is a term that can describe,cloud cover,NA,NA,NA,NA,NA,NA,regents
63,misty,is a term that can describe,cloud cover,NA,NA,NA,NA,NA,NA,regents
64,smoggy,is a term that can describe,cloud cover,NA,NA,NA,NA,NA,NA,regents
65,cirrus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
66,cirrostratus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
67,cirrocumulus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
68,altostratus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
69,altocumulus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
70,stratus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
71,cumulonimbus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
72,stratocumulus,is a term that can describe,a type of cloud,NA,NA,NA,NA,NA,NA,regents
73,chilly,is a term that can describe,temperature,NA,NA,NA,NA,NA,NA,regents
74,drought,is a term that can describe,precipitation,NA,NA,NA,NA,NA,NA,regents
75,freezing,is a term that can describe,termperature,NA,NA,NA,NA,NA,NA,regents
76,overcast,is a term that can describe,cloud cover,NA,NA,NA,NA,NA,NA,regents
77,damp,is a term that can describe,the amount of water vapor in the air,NA,NA,NA,NA,NA,NA,regents
78,scorching,is a term that can describe,temperature,NA,NA,NA,NA,NA,NA,regents
79,rainbow,is a term that can describe,optical phenomenon,NA,NA,NA,NA,NA,NA,regents
80,sun dog; mock sun; phantom sun; parhelion,is a term that can describe,optical phenomenon,NA,NA,NA,NA,NA,NA,regents
81,halo,is a term that can describe,optical phenomenon,NA,NA,NA,NA,NA,NA,regents
82,"EXAMPLE ORGANISM Noun phrase, subject of following verb phrase ",EXAMPLE ACTIVITY Verb phrase for organism ,NA,ABSTRACT ACTIVITY Abstract description of organism performing an activity,NA,NA,NA,NA,NA,regents
